"trialid","passage","qnum","question","image","choice1","choice2","choice3","choice4","choice5","correct","explanation"
"AQ008A","Even though affirmative action programs in colleges seem unfair to many people, we should support such programs. To see this, consider the following case. You and I are running a race. You, however, have to start 100 meters farther back than I do. That doesn't seem very fair, does it? So, to compensate, your finish line is 100 meters closer than mine. That makes the race fair. Affirmative action seems to work the same way!","4","Which of the following is used to directly support the claim “affirmative action makes the college admissions process fair”?","Alice-072015-DI_055.png","It would be unfair for you to start 100 meters further back than I do unless your finish line is 100 meters before mine is.","We would not support a program that was not fair.","In the case of the race, it is fair to compensate you for starting at a disadvantage.","When a group of students has less access to resources through grade school and high school, it is fair to give them advantages when they apply to college.","We support affirmative action.","In the case of the race, it is fair to compensate you for starting at a disadvantage.",NA
"AQ008A","Even though affirmative action programs in colleges seem unfair to many people, we should support such programs. To see this, consider the following case. You and I are running a race. You, however, have to start 100 meters farther back than I do. That doesn't seem very fair, does it? So, to compensate, your finish line is 100 meters closer than mine. That makes the race fair. Affirmative action seems to work the same way!","5","What is assumed when the claim “in the case of the race, it is fair to compensate you for starting at a disadvantage,” is used to support the claim that affirmative action is fair?","Alice-072015-DI_057.png","The cases of affirmative action and the race are similar in all aspects relevant to fairness.","It would be unfair for you to start 100 meters further back than I do unless your finish line is 100 meters before mine is.","We should support fair programs.","Affirmative action and the race are the same in all aspects.","We support making the finish line 100 meters earlier for the person who started 100 meters further back.","The cases of affirmative action and the race are similar in all aspects relevant to fairness.",NA
"AQ009B","Some people think that you should try new things even if you know you will fail, for the sake of experience. I disagree. If you try something and fail, you will embarrass yourself! Plus, your failure could ruin your reputation, preventing you from getting more opportunities. Besides, if you try something and fail, you'll waste time that you could have spent on a better chance of success.","1","What is the conclusion of this argument?","Alice-072015-DI_059.png","Experience is the most important thing in life.","If you try something and fail, you will embarrass yourself.","Trying something new is not beneficial in most cases.","You should not try something if you know you will fail.","You should not try something new for the sake of experience.","You should not try something if you know you will fail.",NA
"AQ009B","Some people think that you should try new things even if you know you will fail, for the sake of experience. I disagree. If you try something and fail, you will embarrass yourself! Plus, your failure could ruin your reputation, preventing you from getting more opportunities. Besides, if you try something and fail, you'll waste time that you could have spent on a better chance of success.","2","How many reasons directly support the claim “you should not try something if you know you will fail”?","blank.png","1","2","3","4","5","3",NA
"AQ009B","Some people think that you should try new things even if you know you will fail, for the sake of experience. I disagree. If you try something and fail, you will embarrass yourself! Plus, your failure could ruin your reputation, preventing you from getting more opportunities. Besides, if you try something and fail, you'll waste time that you could have spent on a better chance of success.","3","Of the following claims, which are used to directly support the claim “you should not try something if you know you will fail”?
 1) If you try something and fail you will embarrass yourself.
 2) If you try something and fail, your reputation will be ruined.
 3) If you try something and fail, you will lose opportunities.
 4) If you try something and fail, you will waste time that you could have spent on a better chance of success.
 5) If you try something and fail, you do not gain any meaningful experience.","Alice-072015-DI_061.png","1, 2, 2003","1, 2, 2005","1, 3, 2004","1, 3, 2005","1, 4, 2005","1, 3, 2004",NA
"AQ009B","Some people think that you should try new things even if you know you will fail, for the sake of experience. I disagree. If you try something and fail, you will embarrass yourself! Plus, your failure could ruin your reputation, preventing you from getting more opportunities. Besides, if you try something and fail, you'll waste time that you could have spent on a better chance of success.","4","What is assumed when the claim “you will embarrass yourself if you try something and fail,” is used to support the claim that you should not try something if you know you will fail?","Alice-072015-DI_063.png","You should not do anything that will cause you to embarrass yourself.","The risk of embarrassing yourself will outweigh any possible benefits of experience.","You should not do anything that might hurt your reputation.","You should not embarrass yourself and risk ruining your reputation.","Embarrassing yourself will hurt your self-confidence.","You should not do anything that will cause you to embarrass yourself.",NA
"AQ009B","Some people think that you should try new things even if you know you will fail, for the sake of experience. I disagree. If you try something and fail, you will embarrass yourself! Plus, your failure could ruin your reputation, preventing you from getting more opportunities. Besides, if you try something and fail, you'll waste time that you could have spent on a better chance of success.","5","What is assumed when the claim “you will waste time that you could have spent on endeavors you know you will succeed in if you try something and fail,” is used to support the conclusion that you should not try something if you know you will fail?","Alice-072015-DI_065.png","You should not waste time on something you know you will fail.","You should not waste time and do anything that poses a significant risk of failure.","You should not waste time that you could have spent on a better chance of success.","Avoiding failure at all costs is more important than success.","Wasting time that you could have spent succeeding would be morally wrong.","You should not waste time that you could have spent on a better chance of success.",NA
"AQ009B","Some people think that you should try new things even if you know you will fail, for the sake of experience. I disagree. If you try something and fail, you will embarrass yourself! Plus, your failure could ruin your reputation, preventing you from getting more opportunities. Besides, if you try something and fail, you'll waste time that you could have spent on a better chance of success.","6","What is assumed when the claim “you will lose opportunities if you try something and fail,” is used to support the conclusion that you should not try something if you know you will fail?","Alice-072015-DI_067.png","You should not do anything that will cause you to lose opportunities.","It is harmful to do something that will cause you to lose opportunities.","Ruining your reputation will prevent you from getting new opportunities.","Failing will ruin your reputation.","You should not to anything that will cause you to damage your reputation.","You should not do anything that will cause you to lose opportunities.",NA
"AQ009B","Some people think that you should try new things even if you know you will fail, for the sake of experience. I disagree. If you try something and fail, you will embarrass yourself! Plus, your failure could ruin your reputation, preventing you from getting more opportunities. Besides, if you try something and fail, you'll waste time that you could have spent on a better chance of success.","7","Which of the following is used to directly support the claim “if you try something and fail, you will lose opportunities”?","Alice-072015-DI_069.png","Failure will ruin your reputation, and ruining your reputation is a bad thing.","Failure will ruin your reputation, and ruining your reputation will prevent you from getting new opportunities.","You should not do anything that will cause you to lose opportunities.","Failing and losing opportunities have a cause and effect relationship.","Ruining your reputation will prevent you from getting new opportunities.","Failure will ruin your reputation, and ruining your reputation will prevent you from getting new opportunities.",NA
"AQ011A","Marijuana should not be legalized. After all, the legalization of marijuana would lead to more people driving while under the influence of drugs, which is very bad. Also, legalizing marijuana would make it more accessible to young people, which would make more people turn into drug addicts!","1","What is the conclusion of this argument?","Alice-072715-Di_011.png","Legalizing marijuana would lead to more DUIs.","Marijuana should not be legalized.","Legalizing marijuana would lead to more drug addicts.","Legalizing marijuana is a bad idea.","Legalizing marijuana would make it more accessible to young people.","Marijuana should not be legalized.",NA
"AQ011A","Marijuana should not be legalized. After all, the legalization of marijuana would lead to more people driving while under the influence of drugs, which is very bad. Also, legalizing marijuana would make it more accessible to young people, which would make more people turn into drug addicts!","2","How many reasons directly support the claim “marijuana should not be legalized”?","blank.png","1","2","3","4","5","2",NA
"AQ011A","Marijuana should not be legalized. After all, the legalization of marijuana would lead to more people driving while under the influence of drugs, which is very bad. Also, legalizing marijuana would make it more accessible to young people, which would make more people turn into drug addicts!","4","What is assumed when the claim “legalizing marijuana would lead to more people driving under the influence of drugs” is used to support the conclusion that marijuana should not be legalized?","Alice-072715-Di_013.png","People driving under the influence of marijuana would be very bad.","Marijuana can lead to loss of coordination and focus.","We should not legalize something that would lead to more drug addicts.","We should not legalize something that leads to more people driving under the influence of drugs.","","We should not legalize something that leads to more people driving under the influence of drugs.",NA
"AQ011A","Marijuana should not be legalized. After all, the legalization of marijuana would lead to more people driving while under the influence of drugs, which is very bad. Also, legalizing marijuana would make it more accessible to young people, which would make more people turn into drug addicts!","5","What is assumed when the claim “legalizing marijuana would lead to more drug addicts” is used to support the conclusion that marijuana should not be legalized?","Alice-072715-Di_015.png","Legalizing marijuana would make it more accessible to young people.","Marijuana is an extremely addictive substance, and legalizing extremely addictive substances lead to more drug addicts.","We should not legalize something that would lead to more drug addicts.","When young people have more access to drugs, they are more likely to become addicts.","","We should not legalize something that would lead to more drug addicts.",NA
"AQ011A","Marijuana should not be legalized. After all, the legalization of marijuana would lead to more people driving while under the influence of drugs, which is very bad. Also, legalizing marijuana would make it more accessible to young people, which would make more people turn into drug addicts!","6","Which of the following is used to directly support the claim “legalizing marijuana would lead to more drug addicts”?","Alice-072715-Di_017.png","Legalizing marijuana would make people turn into drug addicts.","Legalizing marijuana would make it more accessible to young people.","People with access to drugs become drug addicts.","No direct support is given.","","Legalizing marijuana would make it more accessible to young people.",NA
"AQ011A","Marijuana should not be legalized. After all, the legalization of marijuana would lead to more people driving while under the influence of drugs, which is very bad. Also, legalizing marijuana would make it more accessible to young people, which would make more people turn into drug addicts!","7","What is assumed when the claim “legalizing marijuana would make it more accessible to young people” is used to support the claim that legalizing marijuana would lead to more drug addicts?","Alice-072715-Di_019.png","Legalizing marijuana will allow people to afford marijuana.","People who have access to drugs become drug addicts.","When young people have more access to drugs, they are more likely to become addicts.","We should not make marijuana more accessible to young people.","Drug addictions occur when addicts have more access to legal drugs.","When young people have more access to drugs, they are more likely to become addicts.",NA
"AQ012B","Some people would agree that it is worse for ten people to be harmed than it is for just one person to be harmed. That's why we should allow humans to be used in medical research. Doing medical research on a small number of people could harm them, but it would save millions of lives! It is better to harm the smaller number of people than it is to let millions die.","1","What does this argument conclude?","Alice-072715-Di_021.png","Doing medical research on humans does not harm them.","It is worse for ten people to be harmed than it is for just one person to be harmed.","We should approve of doing medical research on humans.","Performing medical research on humans is better than not.","It is better to harm a small number of people than to let millions die.","We should approve of doing medical research on humans.",NA
"AQ012B","Some people would agree that it is worse for ten people to be harmed than it is for just one person to be harmed. That's why we should allow humans to be used in medical research. Doing medical research on a small number of people could harm them, but it would save millions of lives! It is better to harm the smaller number of people than it is to let millions die.","2","Which of the following is used to directly oppose the claim “we should approve of doing medical research on humans”?","Alice-072715-Di_023.png","It is better to harm a small number of people than to let millions die.","Doing medical research on humans will harm a small number of people.","It is worse for ten people to be harmed than it is for just one person to be harmed.","Doing medical research on humans could save millions of lives, and it is better to harm a small number of people than to let millions die.","None of the above","Doing medical research on humans will harm a small number of people.",NA
"AQ012B","Some people would agree that it is worse for ten people to be harmed than it is for just one person to be harmed. That's why we should allow humans to be used in medical research. Doing medical research on a small number of people could harm them, but it would save millions of lives! It is better to harm the smaller number of people than it is to let millions die.","3","What is assumed when the claim “doing medical research on humans will harm a small number of people” is used to oppose the claim that we should approve of doing medical research on humans?","Alice-072715-Di_024.png","We should not do medical research on humans.","We should not do what harms people.","Harming people is acceptable only if it would save millions of lives.","It is better to harm a smaller number of people than it is to let millions die.","It is worse for ten people to be harmed than it is for just one person to be harmed.","We should not do what harms people.",NA
"AQ012B","Some people would agree that it is worse for ten people to be harmed than it is for just one person to be harmed. That's why we should allow humans to be used in medical research. Doing medical research on a small number of people could harm them, but it would save millions of lives! It is better to harm the smaller number of people than it is to let millions die.","4","Which of the following is used to directly oppose the claim “we should not do what harms people”?","Alice-072715-Di_026.png","It is not worse for ten people to be harmed than for just one to be harmed.","Sometimes it is necessary to harm people.","Doing medical research on humans could save millions of lives, and it is better to harm a small number of people than to let millions die.","We should do whatever it takes to save millions of lives, and doing medical research on humans could save millions of lives.","No opposing claim is given.","Doing medical research on humans could save millions of lives, and it is better to harm a small number of people than to let millions die.",NA
"AQ012B","Some people would agree that it is worse for ten people to be harmed than it is for just one person to be harmed. That's why we should allow humans to be used in medical research. Doing medical research on a small number of people could harm them, but it would save millions of lives! It is better to harm the smaller number of people than it is to let millions die.","5","Which of the following is used to directly support the claim “we should approve of doing medical research on humans”?","blank.png","Doing medical research on humans could save millions of lives.","It is better to harm a small number of people than to let millions die.","Doing medical research on humans could save millions of lives, and it is better to harm a small number of people than to let millions die.","It is worse for ten people to be harmed than it is for just one person to be harmed.","None of the above.","None of the above.",NA
"AQ013D","As nice as free college for everyone sounds, we shouldn't let the state fund college education. First of all, that would be expensive for the state, and expensive state-funded programs often result in resources being thinly spread. So, with resources spread so thin, the quality of education offered would definitely suffer. More importantly, we don't want the state to be in control of what we learn! If that were the case, then they could stop any criticism of the government and only promote their own ideas. That goes against the very essence of democracy!","1","What does this argument conclude?","Alice-072715-Di_028.png","State-funded college for everyone would diminish the quality of education.","State-funded education goes against the very essence of democracy.","We don’t want the state to be in control of what we learn.","It is too expensive for the state to fund college education.","We should not let the state fund college education.","We should not let the state fund college education.",NA
"AQ013D","As nice as free college for everyone sounds, we shouldn't let the state fund college education. First of all, that would be expensive for the state, and expensive state-funded programs often result in resources being thinly spread. So, with resources spread so thin, the quality of education offered would definitely suffer. More importantly, we don't want the state to be in control of what we learn! If that were the case, then they could stop any criticism of the government and only promote their own ideas. That goes against the very essence of democracy!","2","How many reasons directly support the claim “we should not let the state fund college education”?","blank.png","1","2","3","4","5","2",NA
"AQ013D","As nice as free college for everyone sounds, we shouldn't let the state fund college education. First of all, that would be expensive for the state, and expensive state-funded programs often result in resources being thinly spread. So, with resources spread so thin, the quality of education offered would definitely suffer. More importantly, we don't want the state to be in control of what we learn! If that were the case, then they could stop any criticism of the government and only promote their own ideas. That goes against the very essence of democracy!","3","Of the following claims, which are used to directly support the claim “we should not let the state fund college education”?
 1. It is too expensive for the state to fund college education.
 2. State-education would have fewer resources.
 3. State-funded education suffers in quality.
 4. If the state funded college education, it could control the curriculum.","Alice-072715-Di_030.png","1, 4","1, 3","1, 2","3, 4","2, 4","3, 4",NA
"AQ013D","As nice as free college for everyone sounds, we shouldn't let the state fund college education. First of all, that would be expensive for the state, and expensive state-funded programs often result in resources being thinly spread. So, with resources spread so thin, the quality of education offered would definitely suffer. More importantly, we don't want the state to be in control of what we learn! If that were the case, then they could stop any criticism of the government and only promote their own ideas. That goes against the very essence of democracy!","4","What is assumed when the claim “state-funded education suffers in quality” is used to support the claim that we should not let the state fund college education?","Alice-072715-Di_032.png","The quality of education is the state’s top priority.","The state should not be in control of the curriculum.","Lack of resources leads to lower quality education.","State-funded education would have fewer resources.","We should not lower the quality of education.","We should not lower the quality of education.",NA
"AQ013D","As nice as free college for everyone sounds, we shouldn't let the state fund college education. First of all, that would be expensive for the state, and expensive state-funded programs often result in resources being thinly spread. So, with resources spread so thin, the quality of education offered would definitely suffer. More importantly, we don't want the state to be in control of what we learn! If that were the case, then they could stop any criticism of the government and only promote their own ideas. That goes against the very essence of democracy!","5","Which of the following is used to directly support the claim “state-funded education suffers in quality”?","Alice-072715-Di_034.png","It would be expensive for the state to fund college education, and expensive state-funded programs generally result in resources being thinly spread.","State-funded education allows for censorship of any criticism directed towards the government.","Expensive state-funded programs generally result in resources being thinly spread.","State-funded education would be expensive for the state, and expensive state-funded programs are generally poor in quality.","We should not fund education that would be poor in quality, and state-funded education would cause quality of education to suffer.","It would be expensive for the state to fund college education, and expensive state-funded programs generally result in resources being thinly spread.",NA
"AQ013D","As nice as free college for everyone sounds, we shouldn't let the state fund college education. First of all, that would be expensive for the state, and expensive state-funded programs often result in resources being thinly spread. So, with resources spread so thin, the quality of education offered would definitely suffer. More importantly, we don't want the state to be in control of what we learn! If that were the case, then they could stop any criticism of the government and only promote their own ideas. That goes against the very essence of democracy!","6","What is assumed when the claim “It would be expensive for the state to fund college education, and expensive programs generally result in resources being thinly spread” is used to support the claim that state-funded education suffers in quality?","Alice-072715-Di_036.png","It is too expensive for the state to fund college education.","Lower quality education has few resources.","The state causes education resources to decrease.","Lack of resources leads to lower quality education.","Expensive programs cause a lack of resources.","Lack of resources leads to lower quality education.",NA
"AQ013D","As nice as free college for everyone sounds, we shouldn't let the state fund college education. First of all, that would be expensive for the state, and expensive state-funded programs often result in resources being thinly spread. So, with resources spread so thin, the quality of education offered would definitely suffer. More importantly, we don't want the state to be in control of what we learn! If that were the case, then they could stop any criticism of the government and only promote their own ideas. That goes against the very essence of democracy!","7","What is assumed when the claim “if the state funded college education, it could control the curriculum” is used to support the claim that we should not let the state fund college education?","Alice-072715-Di_038.png","We should not let the state control college funding.","A state that controls the curriculum could do things that go against democracy.","We should not let the state control the curriculum.","We should not allow the state to stop any criticism of government and only promote their own ideas.","We should do what is best for the curriculum.","We should not let the state control the curriculum.",NA
"AQ013D","As nice as free college for everyone sounds, we shouldn't let the state fund college education. First of all, that would be expensive for the state, and expensive state-funded programs often result in resources being thinly spread. So, with resources spread so thin, the quality of education offered would definitely suffer. More importantly, we don't want the state to be in control of what we learn! If that were the case, then they could stop any criticism of the government and only promote their own ideas. That goes against the very essence of democracy!","8","Which of the following is used to directly support the claim “we should not let the state control the curriculum”?","Alice-072715-Di_040.png","A high priority of the state’s is to gain public support of its policies.","We should not let the state promote its own ideas and censor criticism of the government.","If the state funded college education, it could control the curriculum.","A state that controls the curriculum could promote its own ideas and stop criticism of the government, which would be anti-democratic.","There is no reason given.","A state that controls the curriculum could promote its own ideas and stop criticism of the government, which would be anti-democratic.",NA
"AQ013D","As nice as free college for everyone sounds, we shouldn't let the state fund college education. First of all, that would be expensive for the state, and expensive state-funded programs often result in resources being thinly spread. So, with resources spread so thin, the quality of education offered would definitely suffer. More importantly, we don't want the state to be in control of what we learn! If that were the case, then they could stop any criticism of the government and only promote their own ideas. That goes against the very essence of democracy!","9","What is assumed when the claim “a state that controls the curriculum could do things that go against democracy” is used to support the claim that we should not let the state control the curriculum?","Alice-072715-Di_042.png","We should not allow the state to do anything that is anti-democratic.","The state would stop any criticism of the government and only promote their own ideas.","Letting the state control the curriculum would cause them to do things that are anti-democratic.","A high priority of the state’s is to gain public support of its policies.","None of the above.","We should not allow the state to do anything that is anti-democratic.",NA
"AQ014C","The legalization of marijuana is highly contentious at both the state and federal level. When you consider the drug, however, its inebriating effects are similar to those of alcohol, while the act of smoking is similar to cigarettes. So, there are no significant moral differences between marijuana and alcohol and tobacco. Since those are both legal, marijuana should also be legalized.","1","What does this argument conclude?","Alice-072715-Di_044.png","The legalization of marijuana is highly contentious at both the state and federal level.","Marijuana should be legalized.","The inebriating effects of marijuana are similar to those of alcohol.","There are no morally significant differences between marijuana and alcohol and tobacco if the inebriating effects and act of smoking are similar.","There are no morally significant differences between marijuana and alcohol and tobacco.","Marijuana should be legalized.",NA
"AQ014C","The legalization of marijuana is highly contentious at both the state and federal level. When you consider the drug, however, its inebriating effects are similar to those of alcohol, while the act of smoking is similar to cigarettes. So, there are no significant moral differences between marijuana and alcohol and tobacco. Since those are both legal, marijuana should also be legalized.","2","“The legalization of marijuana is highly contentious at both the state and federal level” is a logical part of the author’s argument.","blank.png","TRUE","FALSE","","","","FALSE",NA
"AQ014C","The legalization of marijuana is highly contentious at both the state and federal level. When you consider the drug, however, its inebriating effects are similar to those of alcohol, while the act of smoking is similar to cigarettes. So, there are no significant moral differences between marijuana and alcohol and tobacco. Since those are both legal, marijuana should also be legalized.","3","“When you consider the drug, however, its inebriating effects are similar to those of alcohol, while the act of smoking is similar to cigarettes” is a logical part of the author’s argument.","blank.png","TRUE","FALSE","","","","TRUE",NA
"AQ014C","The legalization of marijuana is highly contentious at both the state and federal level. When you consider the drug, however, its inebriating effects are similar to those of alcohol, while the act of smoking is similar to cigarettes. So, there are no significant moral differences between marijuana and alcohol and tobacco. Since those are both legal, marijuana should also be legalized.","4","“So, there are no significant moral differences between marijuana and alcohol and tobacco” is a logical part of the author’s argument.","blank.png","TRUE","FALSE","","","","TRUE",NA
"AQ014C","The legalization of marijuana is highly contentious at both the state and federal level. When you consider the drug, however, its inebriating effects are similar to those of alcohol, while the act of smoking is similar to cigarettes. So, there are no significant moral differences between marijuana and alcohol and tobacco. Since those are both legal, marijuana should also be legalized.","5","“Since those are both legal, marijuana should also be legalized” is a logical part of the author’s argument.","blank.png","TRUE","FALSE","","","","TRUE",NA
"AQ014C","The legalization of marijuana is highly contentious at both the state and federal level. When you consider the drug, however, its inebriating effects are similar to those of alcohol, while the act of smoking is similar to cigarettes. So, there are no significant moral differences between marijuana and alcohol and tobacco. Since those are both legal, marijuana should also be legalized.","6","Which of the following is used to directly support the claim “marijuana should be legalized”?","Alice-072715-Di_046.png","The legalization of marijuana is highly contentious at both the state and federal level.","There are no morally significant differences between marijuana and alcohol and tobacco, which are both legal.","There are no morally significant differences between marijuana and alcohol and tobacco if the inebriating effects and act of smoking are similar.","The inebriating effects of marijuana are similar to those of alcohol, and the act of smoking is similar to cigarettes, which are both legal.","Marijuana, like alcohol and cigarettes, do not harm people, and a substance that does not harm people should be legal.","There are no morally significant differences between marijuana and alcohol and tobacco, which are both legal.",NA
"AQ014C","The legalization of marijuana is highly contentious at both the state and federal level. When you consider the drug, however, its inebriating effects are similar to those of alcohol, while the act of smoking is similar to cigarettes. So, there are no significant moral differences between marijuana and alcohol and tobacco. Since those are both legal, marijuana should also be legalized.","7","Which of the following is used to directly support the claim “there are no morally significant differences between marijuana and alcohol and tobacco”?","Alice-072715-Di_047.png","The inebriating effects of marijuana are similar to those of alcohol, and the act of smoking is similar to cigarettes.","Alcohol and tobacco are both legal.","Marijuana should be legalized.","The legalization of marijuana is highly contentious at both the state and federal level.","There is no reason given.","The inebriating effects of marijuana are similar to those of alcohol, and the act of smoking is similar to cigarettes.",NA
"AQ014C","The legalization of marijuana is highly contentious at both the state and federal level. When you consider the drug, however, its inebriating effects are similar to those of alcohol, while the act of smoking is similar to cigarettes. So, there are no significant moral differences between marijuana and alcohol and tobacco. Since those are both legal, marijuana should also be legalized.","8","What is assumed when the claim “the inebriating effects of marijuana are similar to those of alcohol, and the act of smoking is similar to cigarettes” is used to support the claim that there are no morally significant differences between marijuana and alcohol and tobacco?","Alice-072715-Di_049.png","Marijuana has a lot of similarities with alcohol and tobacco.","Alcohol and tobacco are legal.","Alcohol and tobacco are morally permissible.","If the inebriating effects of marijuana are similar to those of alcohol, and the act of smoking is similar to cigarettes, then there is no moral problem with marijuana.","Any moral differences between acts would result from differences in effect and action.","Any moral differences between acts would result from differences in effect and action.",NA
"AQ015A","Single-sex schools are best for students. After all, boys and girls are very distracting to one another. This can hinder their education! Also, for women and girls specifically, single-sex schools lead to increased confidence and participation. We want to raise our children to be unafraid to answer questions in class! Single-sex schools afford the best education possible.","1","What does this argument conclude?","Alice-072715-Di_051.png","Boys and girls hinder each other’s education.","Girls in single-sex schools are more confident.","Single-sex schools are best for students.","Boys and girls should be taught in single-sex environments.","Single-sex schools are best for girls.","Single-sex schools are best for students.",NA
"AQ015A","Single-sex schools are best for students. After all, boys and girls are very distracting to one another. This can hinder their education! Also, for women and girls specifically, single-sex schools lead to increased confidence and participation. We want to raise our children to be unafraid to answer questions in class! Single-sex schools afford the best education possible.","2","Of the following claims, which are used to directly support the claim “single-sex schools are the best for students”?
 1. Boys and girls are very distracting to one another, and schools where boys and girls do not distract each other are the best schools.
 2. Boys and girls hinder each other's education, and schools where students are not hindered from learning are the best schools.
 3. Girls in single-sex schools are more confident, and schools where girls are more confident are best for them.","Alice-072715-Di_053.png","1, 2","1, 3","2, 3","1, 2, 2003","","2, 3",NA
"AQ015A","Single-sex schools are best for students. After all, boys and girls are very distracting to one another. This can hinder their education! Also, for women and girls specifically, single-sex schools lead to increased confidence and participation. We want to raise our children to be unafraid to answer questions in class! Single-sex schools afford the best education possible.","3","Which of the following is used to directly support the claim “boys and girls hinder each other's education”?","Alice-072715-Di_054.png","Girls are less confident when boys are in class with them, which hinders their education.","Boys and girls are very distracting to one another, and distractions hinder education.","Single-sex schools lead to increased participation, and increased participation improves education.","When boys are present, girls are less likely to participate in class, and decreased participation hinders education.","There is no direct support given.","Boys and girls are very distracting to one another, and distractions hinder education.",NA
"AQ016B","School uniforms might remind you of private institutions, but they're good for all schools! When students all wear the same uniform, the most evident differences of economic status disappear, which prevents bullying! Plus, when they don't have to spend a lot of time focusing on their outfits, students can focus more on school, which will improve their schoolwork. Less bullying and better schoolwork? What more could a school ask for!","1","What does this argument conclude?","Alice-072715-Di_056.png","School uniforms create a better work environment for students.","School uniforms are good for all schools.","School uniforms hide the evidence of economic disparities.","School uniforms decrease bullying.","School uniforms improve students' schoolwork.","School uniforms are good for all schools.",NA
"AQ016B","School uniforms might remind you of private institutions, but they're good for all schools! When students all wear the same uniform, the most evident differences of economic status disappear, which prevents bullying! Plus, when they don't have to spend a lot of time focusing on their outfits, students can focus more on school, which will improve their schoolwork. Less bullying and better schoolwork? What more could a school ask for!","2","Of the following claims, which are used to directly support the claim “school uniforms are good for all schools”?
 1. School uniforms hide the evidence of economic disparities.
 2. School uniforms decrease bullying.
 3. School uniforms improve students' schoolwork.
 4. School uniforms mean students don't need to spend time thinking about what they will wear.","Alice-072715-Di_058.png","1, 2","1, 2, 2003","2, 3","2, 3, 2004","3, 4","2, 3",NA
"AQ016B","School uniforms might remind you of private institutions, but they're good for all schools! When students all wear the same uniform, the most evident differences of economic status disappear, which prevents bullying! Plus, when they don't have to spend a lot of time focusing on their outfits, students can focus more on school, which will improve their schoolwork. Less bullying and better schoolwork? What more could a school ask for!","3","What is assumed when the claim “school uniforms decrease bullying” is used to support the claim that school uniforms are good for all schools?","Alice-072715-Di_060.png","Decreasing bullying is good for all schools.","School uniforms hide the evidence of economic disparities.","Bullying hinders students’ abilities to learn.","Without evidence of economic disparities, there will be less bullying.","Students’ clothes are good indicators of their socioeconomic statuses.","Decreasing bullying is good for all schools.",NA
"AQ016B","School uniforms might remind you of private institutions, but they're good for all schools! When students all wear the same uniform, the most evident differences of economic status disappear, which prevents bullying! Plus, when they don't have to spend a lot of time focusing on their outfits, students can focus more on school, which will improve their schoolwork. Less bullying and better schoolwork? What more could a school ask for!","4","Which of the following is used to directly support the claim “school uniforms decrease bullying”?","Alice-072715-Di_062.png","School uniforms mean students don't need to spend time thinking about what they will wear.","School uniforms remind people of private institutions.","If all students wear the same uniform, students will be able to focus on their studies.","School uniforms hide most evidence of economic disparities.","Bullying is less likely when all students wear the same uniform.","School uniforms hide most evidence of economic disparities.",NA
"AQ016B","School uniforms might remind you of private institutions, but they're good for all schools! When students all wear the same uniform, the most evident differences of economic status disappear, which prevents bullying! Plus, when they don't have to spend a lot of time focusing on their outfits, students can focus more on school, which will improve their schoolwork. Less bullying and better schoolwork? What more could a school ask for!","5","What is assumed when the claim “school uniforms hide most evidence of economic disparities” is used to support the claim that school uniforms decrease bullying?","Alice-072715-Di_064.png","Wealthier students often bully financially disadvantaged students","Economic disparities are a cause of bullying.","Students of financially disadvantaged backgrounds feel insecure around wealthier students.","Clothing makes students’ economic backgrounds obviously apparent.","Decreasing bullying is good for all schools.","Economic disparities are a cause of bullying.",NA
"AQ016B","School uniforms might remind you of private institutions, but they're good for all schools! When students all wear the same uniform, the most evident differences of economic status disappear, which prevents bullying! Plus, when they don't have to spend a lot of time focusing on their outfits, students can focus more on school, which will improve their schoolwork. Less bullying and better schoolwork? What more could a school ask for!","6","What is assumed when the claim “school uniforms improve students' schoolwork” is used to support the claim that school uniforms are good for all schools?","Alice-072715-Di_066.png","The time students spend focusing on their clothing takes away from time they would spend studying.","Improving students coursework will decrease the time they waste on things like deciding what to wear.","Many students are underperforming.","Improving students' schoolwork is good for all schools.","Education is improved when students focus on their schoolwork.","Improving students' schoolwork is good for all schools.",NA
"AQ016B","School uniforms might remind you of private institutions, but they're good for all schools! When students all wear the same uniform, the most evident differences of economic status disappear, which prevents bullying! Plus, when they don't have to spend a lot of time focusing on their outfits, students can focus more on school, which will improve their schoolwork. Less bullying and better schoolwork? What more could a school ask for!","7","Which of the following is used to directly support the claim “school uniforms improve students' schoolwork”?","Alice-072715-Di_068.png","School uniforms mean students don't need to spend time thinking about what they will wear, which gives students more time to focus on schoolwork.","School uniforms decrease bullying, which improves schoolwork since students students can focus more on school.","Students who wear school uniforms are more attentive and studious.","Education is better in an environment that has school uniforms.","School uniforms mean students don’t spend time thinking about what they will wear.","School uniforms mean students don't need to spend time thinking about what they will wear, which gives students more time to focus on schoolwork.",NA
